Dishes & Customizations Breakdown,Type,item_id,Category,Is_Drink,Is_Dessert,Is_Cold,Is_Signature
taro ball tofu pudding,dish,taro ball tofu pudding,tofu pudding,0,1,0.5,0
taro paste valcona shaved ice,dish,taro paste valcona shaved ice,shaved ice,0,1,1.0,0
taro tofu pudding,dish,taro tofu pudding,tofu pudding,0,1,0.5,0
tofu pudding,dish,tofu pudding,tofu pudding,0,1,0.5,0
traditional milk tea,dish,traditional milk tea,milk teas,1,0,0.5,0
ube & taro paste signature,dish,ube & taro paste signature,ube series,0,1,0.5,1
ube milk shaved ice,dish,ube milk shaved ice,ube series,0,1,1.0,0
ube milk tea,dish,ube milk tea,ube series,1,0,0.5,0
win win milk tea,dish,win win milk tea,milk teas,1,0,0.5,0
winter melon tea,dish,winter melon tea,winter melon teas,1,0,0.5,0
boba tofu pudding,dish,boba tofu pudding,tofu pudding,0,1,0.5,0
coco mochi sago drink,dish,coco mochi sago drink,coco sago,1,0,0.5,0
fluffy herbal tea,dish,fluffy herbal tea,fluffy series,1,0,0.5,0
fresh milk green tea w. boba,dish,fresh milk green tea w. boba,fresh milk,1,0,0.5,0
fresh milk herbal tea,dish,fresh milk herbal tea,herbal teas,1,0,0.5,0
grass jelly milk tea,dish,grass jelly milk tea,milk teas,1,0,0.5,0
hot grass jelly c (grass jelly soup & mini taro balls & melon jelly & rice balls & boba),dish,hot grass jelly c (grass jelly soup & mini taro balls & melon jelly & rice balls & boba),hot grass jelly soup series,0,1,1.0,0
mango & orange green tea,dish,mango & orange green tea,fruit series,1,0,0.5,0
passion fruit green tea,dish,passion fruit green tea,fruit series,1,0,0.5,0
purple rice soup,dish,purple rice soup,create your own (base),0,1,1.0,0
purple rice soup a (purple rice soup & red beans & peanuts & boba),dish,purple rice soup a (purple rice soup & red beans & peanuts & boba),purple rice series,0,1,1.0,0
rice ball tofu pudding,dish,rice ball tofu pudding,tofu pudding,0,1,1.0,0
boba purple rice fresh milk,dish,boba purple rice fresh milk,purple rice drink,1,0,1.0,0
fresh milk black tea w. boba,dish,fresh milk black tea w. boba,fresh milk,1,0,0.5,0
icy taro ball,dish,icy taro ball,create your own (base),0,1,1.0,0
q mochi & caramel pudding,dish,q mochi & caramel pudding,small bites,0,1,0.5,0
caramel pudding (topping),dish,caramel pudding (topping),topping,0,1,0.5,0
cold coco sago b,dish,cold coco sago b,coco sago,0,1,1.0,0
hot almond drink,dish,hot almond drink,seasonal drink,1,0,0.0,0
hot almond soup a (taro balls & almond flakes & almond soup & red beans & peanuts & boba),dish,hot almond soup a (taro balls & almond flakes & almond soup & red beans & peanuts & boba),hot almond drink,0,1,0.0,0
hot grass jelly b (grass jelly soup & mini taro balls & taro & red beans & boba),dish,hot grass jelly b (grass jelly soup & mini taro balls & taro & red beans & boba),hot grass jelly soup series,0,1,0.0,0
